id,museum,name,inventory,size,details,era,technique,category,image_url,author,number_of_volume,engraved_or_handcopied
6908,上海博物馆,庄王既成 申公臣灵王,,,,战国,,简牍,,,,
6909,上海博物馆,孔子见季??子,,,,战国,,简牍,,,,
6910,上海博物馆,竞公疟,,,,战国,,简牍,,,,
6911,上海博物馆,鬼神之明 融师有成氏,,,,战国,,简牍,,,,
6912,上海博物馆,三德,,,,战国,,简牍,,,,
6913,上海博物馆,弟子问,,,,战国,,简牍,,,,
6914,上海博物馆,君子为礼,,,,战国,,简牍,,,,
6915,上海博物馆,姑成家父,,,,战国,,简牍,,,,
6916,上海博物馆,季庚子问于孔子,,,,战国,,简牍,,,,
6917,上海博物馆,鲍叔牙与隰朋之谏,,,,战国,,简牍,,,,
6918,上海博物馆,竞建内之,,,,战国,,简牍,,,,
6919,上海博物馆,曹沫之陈,,,,战国,,简牍,,,,
6920,上海博物馆,相邦之道,,,,战国,,简牍,,,,
6921,上海博物馆,内礼,,,,战国,,简牍,,,,
6922,上海博物馆,柬大王泊旱,,,,战国,,简牍,,,,
6923,上海博物馆,逸诗,,,,战国,,简牍,,,,
6924,上海博物馆,采风曲目,,,,战国,,简牍,,,,
6925,上海博物馆,彭祖,,,,战国,,简牍,,,,
6926,上海博物馆,亘先,,,,战国,,简牍,,,,
6927,上海博物馆,中弓,,,,战国,,简牍,,,,
6928,上海博物馆,周易,,,,战国,,简牍,,,,
6929,上海博物馆,容成氏,,,,战国,,简牍,,,,
6930,上海博物馆,昔者君老,,,,战国,,简牍,,,,
6931,上海博物馆,从政（甲篇、乙篇）,,,,战国,,简牍,,,,
6932,上海博物馆,鲁邦大旱,,,,战国,,简牍,,,,
6933,上海博物馆,子羔,,,,战国,,简牍,,,,
6934,上海博物馆,民之父母,,,,战国,,简牍,,,,
6935,上海博物馆,性情论,,,,战国,,简牍,,,,
6936,上海博物馆,?衣,,,,战国,,简牍,,,,
6937,上海博物馆,孔子诗论,,,,战国,,简牍,,,,
6938,上海博物馆,“金山神韵”黄釉陶山子,,,,民国,,陶器,,,,
6939,上海博物馆,景德镇窑青花人像,,,,明,,瓷器,,,,
6940,上海博物馆,灰陶猫,,,,唐,,陶器,,,,
6941,上海博物馆,青釉弦纹饕餮耳三足瓿,,,,汉,,陶器,,,,
6942,上海博物馆,陶瓿,,,,汉,,陶器,,,,
6943,上海博物馆,宜兴窑仿钧天蓝釉葵瓣碗,,,,明,,瓷器,,,,
